"Sample"	"coding_exons"	"GtRNAdb"	"intergenic"	"lncRNA"	"miRNA"	"miRNA_primary_transcript"	"misc_RNA_ensembl"	"Mt_rRNA_ensembl"	"Mt_tRNA_ensembl"	"piRBase"	"protein_coding_gene"	"ribozyme_ensembl"	"rRNA_ensembl"	"scaRNA_ensembl"	"scRNA_ensembl"	"snoRNA_ensembl"	"snRNA_ensembl"	"sRNA_ensembl"
"19-032_SC10_S31_L001_R1_001"	2.4567496302013	2.28792848414689	29.4777799215384	17.9030805839604	1.22033571290758	0.0128625635089073	0.0868223036851244	0.0209016657019744	0.176860248247476	0.591677921409737	32.598559392887	0.0144703839475207	4.37970287478294	0.0257251270178146	0	8.68383818895106	0.0627049971059232	0
"19-032_SC11_S32_L001_R1_001"	2.86980785532636	2.44772534614298	35.8699491381746	16.4788782141848	0.384995761514552	0	0.067109352924555	0.0247244984458887	0.128920599039277	0.67109352924555	36.1507487990958	0	4.8124470189319	0	0	0.0918338513704436	0.00176603560327776	0
"19-032_SC12_S33_L001_R1_001"	2.55466661244904	2.44487592635891	31.2964450182476	19.2255690308939	4.45465543006435	0.0152487064014069	0.0864093362746394	0.231780337301386	1.56350069635759	0.675009403368948	27.8970000711606	0	4.83282334881924	0.026431091095772	0	4.54513108804603	0.150453903160549	0
"19-032_SC13_S1_L001_R1_001"	3.17168189145621	1.71816227834498	31.7047286405159	14.6292315959162	0.844975819451908	0.00134336378291241	0.0497044599677593	0.42853304674906	1.93310048361096	0.600483610961848	32.8707684040838	0.00268672756582483	9.05561526061257	0.174637291778614	0	2.73508866200967	0.0792584631918324	0
"19-032_SC14_S2_L001_R1_001"	3.11220397652919	2.20566507661784	29.0303516400017	15.0502342859555	5.86981299337245	0	0.304993879015577	0.192072269829879	2.06108320317447	1.0690615897674	29.7585377179282	0.0369369749672844	9.52235214656592	0.0664865549411119	0	1.35822533665414	0.361982354679387	0
"19-032_SC15_S3_L001_R1_001"	2.96231967964491	1.36898731123655	28.3567327640276	19.7218603753558	0.903411009793988	0.00120615622135379	0.116997153471318	0.762290731895595	6.10918126115694	1.14705456650745	26.7067110532156	0.00482462488541516	5.79437448738361	0.227963525835866	0	5.69185120856853	0.12423409079944	0
"19-032_SC16_S4_L001_R1_001"	2.88532587890712	4.76733109581846	25.1230781557417	16.6175541054243	1.05228484692015	0	0.283102014653645	0.11840430172621	0.342749294470608	0.819037275098596	27.0780845210858	0.0240369635083284	8.24022719381805	0.0391713479394981	0	12.5312703090085	0.0783426958789961	0
"19-032_SC17_S5_L001_R1_001"	3.29962746141565	6.5497481342129	30.1756253326237	15.3681448568635	2.34785945022711	0	0.641112912608141	0.0222780548782752	0.0581704766266074	1.08914934960456	30.4627647066104	0	9.84937559562855	0	0	0.126242310976893	0.00990135772367786	0
"19-032_SC19_S6_L001_R1_001"	2.51403526051413	2.29570898584983	24.1381857579041	15.9796775993959	7.16454906595752	0.00738697921796513	0.196165337010407	0.174004399356512	2.10364752618274	0.830624774286746	25.2610065990348	0.0804359959289537	9.21566696214584	0.113267014675465	0	9.53084474211235	0.394793000426803	0
"19-032_SC2_S24_L001_R1_001"	2.88031713008519	13.7971267114622	31.2547442998116	12.2578649947988	3.2176895611347	0.00421715538811887	0.59461890972476	0.0365486800303635	0.635384745143243	0.617110405128061	30.1062723157806	0	4.56296212994461	0	0	0.0309258061795384	0.00421715538811887	0
"19-032_SC20_S7_L001_R1_001"	3.31671703889783	1.67798406405778	29.4824743886643	14.6239745652942	0.619185932409624	0.00294383169132943	0.165835851944891	0.331671703889783	3.53161675236488	0.593672724418103	32.7442399026573	0.00392510892177258	7.887506378302	0.13737881226204	0	4.80825842917141	0.0726145150527927	0
"19-032_SC21_S8_L001_R1_001"	3.97357603128957	20.4286721269548	22.9762521131066	11.8876669432159	2.82579268787155	0.000623795295335883	0.845866420475457	0.199614494507482	4.76704364695681	1.223886369449	24.1221640706386	0.000623795295335883	6.45066714906836	0.00124759059067177	0	0.230180463978941	0.0661223013056036	0
"19-032_SC22_S9_L001_R1_001"	3.24376175390324	2.8815206553156	31.701775864898	14.8013984778301	0.768657940905477	0	0.200684092945765	0.0997109644195938	1.0046826288354	0.59952795062414	34.2765906423153	0.126216410657714	6.56072902598796	0.092137979780131	0	3.47347562130028	0.169129990281336	0
"19-032_SC24_S10_L001_R1_001"	3.3634074430258	2.94329786022499	32.6356814759513	14.6582813468814	1.73231933389854	0	0.296101332455996	0.0278385868121022	0.473255975805737	0.560567907170967	34.9538765232136	0	8.05167854024574	0.0126539030964101	0	0.272058916572817	0.0189808546446151	0
"19-032_SC25_S11_L001_R1_001"	3.30099761570707	1.91604190158121	37.23542525629	15.0442858741403	0.925312239083467	0.0025822667137213	0.47599783089596	0.045620045275743	0.171290358676847	0.872806149237801	34.1728569338165	0.0172151114248087	5.52777227850607	0.0103290668548852	0	0.233264759806158	0.0482023119894643	0
"19-032_SC26_S12_L001_R1_001"	3.05246455235267	3.57833065484061	27.2636653986207	15.5359358789186	0.597066541896373	0.00610289480643652	0.345830705698069	0.0661146937363956	0.176983949386659	0.521797505950322	29.1962487539923	0.00610289480643652	9.90499827084647	0.0528917549891165	0	9.65681388205139	0.0376345179730252	0.00101714913440609
"19-032_SC27_S13_L001_R1_001"	3.07573758930087	2.66563924406076	34.0538352031554	13.7774759361082	0.386589522901511	0	0.266433319837528	0.229864040644142	3.94556401582927	0.555069416328183	31.2184100199825	0	9.74832499640837	0	0	0.0757506497577285	0.00130604568547808	0
"19-032_SC28_S14_L001_R1_001"	3.12267888091112	1.16520178261946	34.0817652884377	16.0466699678138	0.0758232235701906	0	0.134624907155236	0.00773706362961129	0.00154741272592226	0.665387472146571	34.8105966823471	0	9.82761822233226	0	0	0.0123793018073781	0.04796979450359	0
"19-032_SC29_S15_L001_R1_001"	3.14553847094427	8.01974750099349	29.642649711124	13.7880964754073	1.54831412588268	0.00917066609604744	0.473817748295785	0.0290404426374836	0.518142634426681	0.750466175526549	32.2654602145936	0	9.7545318374958	0	0	0.0290404426374836	0.0259835539388011	0
"19-032_SC3_S25_L001_R1_001"	2.27488777396356	16.914444151043	26.6715077898072	12.1428571428571	7.84790071296541	0.01584367573277	0.231053604436229	0.0831792975970425	0.822550831792976	0.710324795352522	26.6979139160285	0.00528122524425667	3.95695801425931	0.0264061262212833	0	1.5143913387906	0.0844996039081067	0
"19-032_SC30_S16_L001_R1_001"	3.38066991852342	1.4160439946493	34.1688173060033	15.3832641975976	0.198624491615885	0	0.133767514761718	0.0243213663203124	0.0108094961423611	0.467510708157116	38.6128714075315	0	6.17222229728817	0	0	0.0229701793025173	0.0081071221067708	0
"19-032_SC31_S17_L001_R1_001"	3.29600197636596	1.37728002635155	34.0984889035286	15.656524066373	0.137933874089019	0.00823485815456829	0.113229299625314	0	0.0185284308477786	0.438506196730761	35.6198789475851	0	9.21480627496191	0	0	0.0205871453864207	0	0
"19-032_SC4_S26_L001_R1_001"	3.23654427203359	2.43423635649784	34.9191717451051	15.3923627114593	0.547959235929738	0	0.163875659343473	0.168996773697957	1.7633703760605	0.706713780918728	36.0441098649733	0	4.49292432700022	0	0	0.110957477680477	0.018777419299773	0
