"Sample"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"mapped_perc_valid"	"mapped_total"	"mapped_perc_total"
"SB_4N_2"	49.09	0	0	1.01	1	42.39	20.87	0	0.01	22	0	0	0	388173	0	0	0	790683	5140	0	0.65	7.87	62193	0	335177	0	56.96	450366	30.5448019728114
"SB_4N_3"	48.9	0	0	1	1	42.54	20.9	0	0.01	22	0	0	0	517745	1	0	0	1058876	6884	0	0.65	7.91	83736	0	450510	0	56.81	601481	34.800013654302
"SB_5"	48.98	0	0	1	1	42.2	21.21	0	0.02	22	0	0	0	475499	0	0	0	970895	1359	0	0.14	8.69	84363	0	409674	0	57.67	559862	55.6723748231221
"SB_6"	49.02	0	0	1	1	42.2	21.21	0	0.02	22	0	0	0	382564	0	0	0	780474	1014	0	0.13	8.66	67582	0	329314	0	57.68	450146	55.7172068245056
"SB_C3_1"	51.71	0	0	1	1	38.86	21.05	0	0.03	21	0	0	0	215517	0	0	0	416754	3376	0	0.81	8.62	35905	0	161956	0	60.33	251422	54.9612747101888
"SB_C3_2"	53.26	0	0	1	1	38.21	21.17	0	0.04	21	0	0	0	282973	0	0	0	531310	5950	0	1.12	7.41	39383	0	203004	0	60.67	322356	55.4571885698557
"SB_C3_3"	53.42	0	0	1.02	1	38.07	21.28	0	0.03	21	0	0	0	187688	0	0	0	351362	3443	0	0.98	7.53	26462	0	133769	0	60.95	214150	56.4414105740341
"SB_CL_1"	55.26	0	0	1	1	31.32	20.74	0	0.04	21	0	0	0	322010	0	0	0	582672	3612	0	0.62	12.8	74563	0	182487	0	68.06	396573	55.6827356322162
"SB_CL_2"	50.32	0	0	1	1	35.81	20.81	0	0.04	22	0	0	0	232021	0	0	0	461053	3043	0.01	0.66	13.21	60890	0	165099	0	63.53	292911	48.9667877555865
"SB_CL_3"	54.42	0	0	1.01	1	35.34	20.69	0	0.02	21	0	0	0	276007	0	0	0	507134	5224	0	1.03	9.2	46676	0	179227	0	63.62	322683	56.8269952133898
